Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14
;(2019-06-02;10:39:56.239589);can0;601;[8];02;9C;10;1C;00;A2;02;85
;(2019-06-02;10:39:56.240438);can0;602;[8];00;16;0;00;0E;D7;03;00
;(2019-06-02;10:39:56.343996);can0;601;[8];02;7B;10;1C;00;5A;02;85
;(2019-06-02;10:39:56.344744);can0;602;[8];00;15;0;00;0E;D7;01;00
;(2019-06-02;10:39:56.448408);can0;601;[8];02;65;10;1C;00;3C;02;85
;(2019-06-02;10:39:56.449158);can0;602;[8];00;14;0;00;0E;D7;01;00
;(2019-06-02;10:39:56.548889);can0;601;[8];02;55;10;1C;00;4F;02;85
;(2019-06-02;10:39:56.549642);can0;602;[8];00;14;0;00;0E;D7;01;00
;(2019-06-02;10:39:56.653242);can0;601;[8];02;4F;10;1C;00;6A;02;85
;(2019-06-02;10:39:56.653990);can0;602;[8];00;14;0;00;0E;D7;01;00
;(2019-06-02;10:39:56.753605);can0;601;[8];02;4A;10;1C;00;A6;02;85
;(2019-06-02;10:39:56.754351);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:56.858039);can0;601;[8];02;45;10;1C;00;A2;02;85
;(2019-06-02;10:39:56.858789);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:56.958460);can0;601;[8];02;40;10;1C;00;AF;02;85
;(2019-06-02;10:39:56.959209);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.062839);can0;601;[8];02;3C;10;1C;00;99;02;85
;(2019-06-02;10:39:57.063589);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.163255);can0;601;[8];02;3A;10;1C;00;8C;02;85
;(2019-06-02;10:39:57.164008);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.263647);can0;601;[8];02;38;10;1C;00;98;02;85
;(2019-06-02;10:39:57.264400);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.368042);can0;601;[8];02;36;10;1C;00;AC;02;85
;(2019-06-02;10:39:57.368790);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.468433);can0;601;[8];02;35;10;1C;00;C7;02;85
;(2019-06-02;10:39:57.469186);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.572833);can0;601;[8];02;32;10;1C;00;A7;02;85
;(2019-06-02;10:39:57.573577);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.673289);can0;601;[8];02;31;10;1C;00;95;02;85
;(2019-06-02;10:39:57.674043);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.777730);can0;601;[8];02;34;10;1C;00;B7;02;85
;(2019-06-02;10:39:57.778483);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.878054);can0;601;[8];02;37;10;1C;00;CF;02;85
;(2019-06-02;10:39:57.878805);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:57.982477);can0;601;[8];02;43;10;1C;00;D4;02;85
;(2019-06-02;10:39:57.983226);can0;602;[8];00;13;0;00;0E;D7;01;00
;(2019-06-02;10:39:58.082884);can0;601;[8];02;55;10;1C;00;EB;02;85
;(2019-06-02;10:39:58.083638);can0;602;[8];00;14;0;00;0E;D7;01;00
;(2019-06-02;10:39:58.187285);can0;601;[8];02;66;10;1C;00;E4;02;85
;(2019-06-02;10:39:58.188036);can0;602;[8];00;14;0;00;0E;D7;01;00
;(2019-06-02;10:39:58.287684);can0;601;[8];02;74;10;1C;00;DB;02;85
;(2019-06-02;10:39:58.288429);can0;602;[8];00;15;0;00;0E;D7;01;00
;(2019-06-02;10:39:58.388102);can0;601;[8];02;7F;10;1C;00;C2;02;85
;(2019-06-02;10:39:58.388848);can0;602;[8];00;15;0;00;0E;D7;01;00
;(2019-06-02;10:39:58.492474);can0;601;[8];02;87;10;1C;00;C6;02;85
;(2019-06-02;10:39:58.493225);can0;602;[8];00;15;0;00;0E;D7;01;00
